lesson_id,segment_order,start_seconds,end_seconds,speaker,transcript,prompt_vi,prompt_en,target_phrases,hint_phrase,hint_type,hint_vi,hint_en,vocabulary_terms,vocabulary_vi,vocabulary_en,status
"bbc-6min-are-you-following-your-dreams-26prgj","34","281.04","295.52","Speaker","Herman compares himself to a beautiful but tiny piece of sand and uses the phrase 'a grain of sand' to describe things which are insignificant in themselves, but at the same time are an important part of the whole.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","35","295.7","305.7","Speaker","Daisy and Herman are rare examples of dreamers who followed their dream and found a happy life, lived without regret – which reminds me of your question, Neil.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","36","305.88","311.18","Speaker","Yes, I asked about Bronnie Ware’s book, The Top Five Regrets of the Dying.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","37","311.36","317.87","Speaker","What do you think the number one regret was, Beth? I guessed it was b) not following your dreams.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","38","318.05","326.38","Speaker","Which was the right answer! Not having the courage to follow your dreams was listed as the top life regret.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","39","326.56","330.81","Speaker","At least we have people like Daisy and Herman to remind us dreams can come true!","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","40","330.99","339.48","Speaker","OK, let’s recap the vocabulary from this programme, starting with 'utopia' – a perfect world where everyone is happy.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","41","339.66","347.84","Speaker","If you 'struggle with an idea', you find it difficult to accept. The adjective, outlandish, means strange and unusual.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","42","348.02","355.22","Speaker","'To conquer' something means to control it by force. Someone who is 'humble' is not proud or arrogant.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","43","355.4","362.51","Speaker","And finally, the phrase 'a grain of sand' describes something which is both insignificant yet somehow important.","","","","","","","","","","","approved"
"bbc-6min-are-you-following-your-dreams-26prgj","44","362.69","366.51","Speaker","Once again, our six minutes are up. Bye for now! Goodbye!","","","","","","","","","","","approved"
